,coef,std err,z,P>|z|,[0.025,0.975]
const,   -6.4636,    0.947,   -6.826, 0.000,   -8.319,   -4.608
CreditScore,    0.1188,    0.290,    0.409, 0.682,   -0.450,    0.688
Age,    1.5458,    0.342,    4.524, 0.000,    0.876,    2.216
Tenure,   -0.1941,    0.278,   -0.697, 0.486,   -0.740,    0.352
Balance,    0.1918,    0.321,    0.598, 0.550,   -0.437,    0.820
NumOfProducts,   -0.4355,    0.223,   -1.951, 0.051,   -0.873,    0.002
EstimatedSalary,    0.0179,    0.271,    0.066, 0.947,   -0.514,    0.550
Satisfaction Score,   -0.3589,    0.277,   -1.295, 0.195,   -0.902,    0.184
Point Earned,   -0.6975,    0.303,   -2.301, 0.021,   -1.292,   -0.103
Geography_Germany,   -1.1005,    0.743,   -1.482, 0.138,   -2.556,    0.355
Geography_Spain,    0.4207,    0.743,    0.566, 0.571,   -1.035,    1.877
Gender_Male,   -0.4977,    0.566,   -0.880, 0.379,   -1.606,    0.611
HasCrCard_1,    0.2615,    0.640,    0.409, 0.683,   -0.993,    1.516
IsActiveMember_1,   -2.2929,    0.681,   -3.369, 0.001,   -3.627,   -0.959
Complain_1,   15.8196,    1.076,   14.708, 0.000,   13.712,   17.928
Card Type_GOLD,   -1.1229,    0.845,   -1.329, 0.184,   -2.779,    0.533
Card Type_PLATINUM,   -1.3901,    0.818,   -1.699, 0.089,   -2.994,    0.213
Card Type_SILVER,    0.1127,    0.792,    0.142, 0.887,   -1.440,    1.666
